timedelta,date
1607 days 18:00:00,2005-05-27 18:00:00
1608 days 00:00:00,2005-05-28 00:00:00
1608 days 06:00:00,2005-05-28 06:00:00
1608 days 12:00:00,2005-05-28 12:00:00
1608 days 18:00:00,2005-05-28 18:00:00
1609 days 00:00:00,2005-05-29 00:00:00
1609 days 06:00:00,2005-05-29 06:00:00
1609 days 12:00:00,2005-05-29 12:00:00
1609 days 18:00:00,2005-05-29 18:00:00
1610 days 00:00:00,2005-05-30 00:00:00
1610 days 06:00:00,2005-05-30 06:00:00
1610 days 12:00:00,2005-05-30 12:00:00
1610 days 18:00:00,2005-05-30 18:00:00
1611 days 00:00:00,2005-05-31 00:00:00
1611 days 06:00:00,2005-05-31 06:00:00
1611 days 12:00:00,2005-05-31 12:00:00
1611 days 18:00:00,2005-05-31 18:00:00
1612 days 00:00:00,2005-06-01 00:00:00
1612 days 06:00:00,2005-06-01 06:00:00
1612 days 12:00:00,2005-06-01 12:00:00
1612 days 18:00:00,2005-06-01 18:00:00
1613 days 00:00:00,2005-06-02 00:00:00
1613 days 06:00:00,2005-06-02 06:00:00
1613 days 12:00:00,2005-06-02 12:00:00
1613 days 18:00:00,2005-06-02 18:00:00
1614 days 00:00:00,2005-06-03 00:00:00
1614 days 06:00:00,2005-06-03 06:00:00
1614 days 12:00:00,2005-06-03 12:00:00
1614 days 18:00:00,2005-06-03 18:00:00
1615 days 00:00:00,2005-06-04 00:00:00
1615 days 06:00:00,2005-06-04 06:00:00
1615 days 12:00:00,2005-06-04 12:00:00
1615 days 18:00:00,2005-06-04 18:00:00
1616 days 00:00:00,2005-06-05 00:00:00
1616 days 06:00:00,2005-06-05 06:00:00
1616 days 12:00:00,2005-06-05 12:00:00
1616 days 18:00:00,2005-06-05 18:00:00
1617 days 00:00:00,2005-06-06 00:00:00
1617 days 06:00:00,2005-06-06 06:00:00
1617 days 12:00:00,2005-06-06 12:00:00
1617 days 18:00:00,2005-06-06 18:00:00
1618 days 00:00:00,2005-06-07 00:00:00
1618 days 06:00:00,2005-06-07 06:00:00
1618 days 12:00:00,2005-06-07 12:00:00
1618 days 18:00:00,2005-06-07 18:00:00
1619 days 00:00:00,2005-06-08 00:00:00
1619 days 06:00:00,2005-06-08 06:00:00
1619 days 12:00:00,2005-06-08 12:00:00
1619 days 18:00:00,2005-06-08 18:00:00
1620 days 00:00:00,2005-06-09 00:00:00
1620 days 06:00:00,2005-06-09 06:00:00
1620 days 12:00:00,2005-06-09 12:00:00
1620 days 18:00:00,2005-06-09 18:00:00
1621 days 00:00:00,2005-06-10 00:00:00
1621 days 06:00:00,2005-06-10 06:00:00
1621 days 12:00:00,2005-06-10 12:00:00
1621 days 18:00:00,2005-06-10 18:00:00
1622 days 00:00:00,2005-06-11 00:00:00
1622 days 06:00:00,2005-06-11 06:00:00
1622 days 12:00:00,2005-06-11 12:00:00
1622 days 18:00:00,2005-06-11 18:00:00
1623 days 00:00:00,2005-06-12 00:00:00
1623 days 06:00:00,2005-06-12 06:00:00
1623 days 12:00:00,2005-06-12 12:00:00
1623 days 18:00:00,2005-06-12 18:00:00
1624 days 00:00:00,2005-06-13 00:00:00
1624 days 06:00:00,2005-06-13 06:00:00
1624 days 12:00:00,2005-06-13 12:00:00
1624 days 18:00:00,2005-06-13 18:00:00
1625 days 00:00:00,2005-06-14 00:00:00
1625 days 06:00:00,2005-06-14 06:00:00
1625 days 12:00:00,2005-06-14 12:00:00
1625 days 18:00:00,2005-06-14 18:00:00
1626 days 00:00:00,2005-06-15 00:00:00
1626 days 06:00:00,2005-06-15 06:00:00
1626 days 12:00:00,2005-06-15 12:00:00
1626 days 18:00:00,2005-06-15 18:00:00
1627 days 00:00:00,2005-06-16 00:00:00
1627 days 06:00:00,2005-06-16 06:00:00
1627 days 12:00:00,2005-06-16 12:00:00
1627 days 18:00:00,2005-06-16 18:00:00
1628 days 00:00:00,2005-06-17 00:00:00
1628 days 06:00:00,2005-06-17 06:00:00
1628 days 12:00:00,2005-06-17 12:00:00
1628 days 18:00:00,2005-06-17 18:00:00
1629 days 00:00:00,2005-06-18 00:00:00
1629 days 06:00:00,2005-06-18 06:00:00
1629 days 12:00:00,2005-06-18 12:00:00
1629 days 18:00:00,2005-06-18 18:00:00
1630 days 00:00:00,2005-06-19 00:00:00
1630 days 06:00:00,2005-06-19 06:00:00
1630 days 12:00:00,2005-06-19 12:00:00
1630 days 18:00:00,2005-06-19 18:00:00
1631 days 00:00:00,2005-06-20 00:00:00
1631 days 06:00:00,2005-06-20 06:00:00
1631 days 12:00:00,2005-06-20 12:00:00
1631 days 18:00:00,2005-06-20 18:00:00
1632 days 00:00:00,2005-06-21 00:00:00
1632 days 06:00:00,2005-06-21 06:00:00
1632 days 12:00:00,2005-06-21 12:00:00
1632 days 18:00:00,2005-06-21 18:00:00
1633 days 00:00:00,2005-06-22 00:00:00
1633 days 06:00:00,2005-06-22 06:00:00
1633 days 12:00:00,2005-06-22 12:00:00
1633 days 18:00:00,2005-06-22 18:00:00
1634 days 00:00:00,2005-06-23 00:00:00
1634 days 06:00:00,2005-06-23 06:00:00
1634 days 12:00:00,2005-06-23 12:00:00
1634 days 18:00:00,2005-06-23 18:00:00
1635 days 00:00:00,2005-06-24 00:00:00
1635 days 06:00:00,2005-06-24 06:00:00
1635 days 12:00:00,2005-06-24 12:00:00
1635 days 18:00:00,2005-06-24 18:00:00
1636 days 00:00:00,2005-06-25 00:00:00
1636 days 06:00:00,2005-06-25 06:00:00
1636 days 12:00:00,2005-06-25 12:00:00
1636 days 18:00:00,2005-06-25 18:00:00
1637 days 00:00:00,2005-06-26 00:00:00
1637 days 06:00:00,2005-06-26 06:00:00
1637 days 12:00:00,2005-06-26 12:00:00
1637 days 18:00:00,2005-06-26 18:00:00
1638 days 00:00:00,2005-06-27 00:00:00
1638 days 06:00:00,2005-06-27 06:00:00
1638 days 12:00:00,2005-06-27 12:00:00
1638 days 18:00:00,2005-06-27 18:00:00
1639 days 00:00:00,2005-06-28 00:00:00
1639 days 06:00:00,2005-06-28 06:00:00
1639 days 12:00:00,2005-06-28 12:00:00
1639 days 18:00:00,2005-06-28 18:00:00
1640 days 00:00:00,2005-06-29 00:00:00
1640 days 06:00:00,2005-06-29 06:00:00
1640 days 12:00:00,2005-06-29 12:00:00
1640 days 18:00:00,2005-06-29 18:00:00
1641 days 00:00:00,2005-06-30 00:00:00
1641 days 06:00:00,2005-06-30 06:00:00
1641 days 12:00:00,2005-06-30 12:00:00
1641 days 18:00:00,2005-06-30 18:00:00
1642 days 00:00:00,2005-07-01 00:00:00
1642 days 06:00:00,2005-07-01 06:00:00
1642 days 12:00:00,2005-07-01 12:00:00
1642 days 18:00:00,2005-07-01 18:00:00
1643 days 00:00:00,2005-07-02 00:00:00
1643 days 06:00:00,2005-07-02 06:00:00
1643 days 12:00:00,2005-07-02 12:00:00
1643 days 18:00:00,2005-07-02 18:00:00
1644 days 00:00:00,2005-07-03 00:00:00
1644 days 06:00:00,2005-07-03 06:00:00
1644 days 12:00:00,2005-07-03 12:00:00
1644 days 18:00:00,2005-07-03 18:00:00
1645 days 00:00:00,2005-07-04 00:00:00
1645 days 06:00:00,2005-07-04 06:00:00
1645 days 12:00:00,2005-07-04 12:00:00
1645 days 18:00:00,2005-07-04 18:00:00
1646 days 00:00:00,2005-07-05 00:00:00
1646 days 06:00:00,2005-07-05 06:00:00
1646 days 12:00:00,2005-07-05 12:00:00
1646 days 18:00:00,2005-07-05 18:00:00
1647 days 00:00:00,2005-07-06 00:00:00
1647 days 06:00:00,2005-07-06 06:00:00
1647 days 12:00:00,2005-07-06 12:00:00
1647 days 18:00:00,2005-07-06 18:00:00
1648 days 00:00:00,2005-07-07 00:00:00
1648 days 06:00:00,2005-07-07 06:00:00
1648 days 12:00:00,2005-07-07 12:00:00
1648 days 18:00:00,2005-07-07 18:00:00
1649 days 00:00:00,2005-07-08 00:00:00
1649 days 06:00:00,2005-07-08 06:00:00
1649 days 12:00:00,2005-07-08 12:00:00
1649 days 18:00:00,2005-07-08 18:00:00
1650 days 00:00:00,2005-07-09 00:00:00
1650 days 06:00:00,2005-07-09 06:00:00
1650 days 12:00:00,2005-07-09 12:00:00
1650 days 18:00:00,2005-07-09 18:00:00
1651 days 00:00:00,2005-07-10 00:00:00
1651 days 06:00:00,2005-07-10 06:00:00
1651 days 12:00:00,2005-07-10 12:00:00
1651 days 18:00:00,2005-07-10 18:00:00
1652 days 00:00:00,2005-07-11 00:00:00
1652 days 06:00:00,2005-07-11 06:00:00
1652 days 12:00:00,2005-07-11 12:00:00
1652 days 18:00:00,2005-07-11 18:00:00
1653 days 00:00:00,2005-07-12 00:00:00
1653 days 06:00:00,2005-07-12 06:00:00
1653 days 12:00:00,2005-07-12 12:00:00
1653 days 18:00:00,2005-07-12 18:00:00
1654 days 00:00:00,2005-07-13 00:00:00
1654 days 06:00:00,2005-07-13 06:00:00
1654 days 12:00:00,2005-07-13 12:00:00
1654 days 18:00:00,2005-07-13 18:00:00
1655 days 00:00:00,2005-07-14 00:00:00
1655 days 06:00:00,2005-07-14 06:00:00
1655 days 12:00:00,2005-07-14 12:00:00
1655 days 18:00:00,2005-07-14 18:00:00
1656 days 00:00:00,2005-07-15 00:00:00
1656 days 06:00:00,2005-07-15 06:00:00
1656 days 12:00:00,2005-07-15 12:00:00
1656 days 18:00:00,2005-07-15 18:00:00
1657 days 00:00:00,2005-07-16 00:00:00
1657 days 06:00:00,2005-07-16 06:00:00
1657 days 12:00:00,2005-07-16 12:00:00
1657 days 18:00:00,2005-07-16 18:00:00
1658 days 00:00:00,2005-07-17 00:00:00
1658 days 06:00:00,2005-07-17 06:00:00
1658 days 12:00:00,2005-07-17 12:00:00
1658 days 18:00:00,2005-07-17 18:00:00
1659 days 00:00:00,2005-07-18 00:00:00
1659 days 06:00:00,2005-07-18 06:00:00
1659 days 12:00:00,2005-07-18 12:00:00
1659 days 18:00:00,2005-07-18 18:00:00
1660 days 00:00:00,2005-07-19 00:00:00
1660 days 06:00:00,2005-07-19 06:00:00
1660 days 12:00:00,2005-07-19 12:00:00
1660 days 18:00:00,2005-07-19 18:00:00
1661 days 00:00:00,2005-07-20 00:00:00
1661 days 06:00:00,2005-07-20 06:00:00
1661 days 12:00:00,2005-07-20 12:00:00
1661 days 18:00:00,2005-07-20 18:00:00
1662 days 00:00:00,2005-07-21 00:00:00
1662 days 06:00:00,2005-07-21 06:00:00
1662 days 12:00:00,2005-07-21 12:00:00
1662 days 18:00:00,2005-07-21 18:00:00
1663 days 00:00:00,2005-07-22 00:00:00
1663 days 06:00:00,2005-07-22 06:00:00
1663 days 12:00:00,2005-07-22 12:00:00
1663 days 18:00:00,2005-07-22 18:00:00
1664 days 00:00:00,2005-07-23 00:00:00
1664 days 06:00:00,2005-07-23 06:00:00
1664 days 12:00:00,2005-07-23 12:00:00
1664 days 18:00:00,2005-07-23 18:00:00
1665 days 00:00:00,2005-07-24 00:00:00
1665 days 06:00:00,2005-07-24 06:00:00
1665 days 12:00:00,2005-07-24 12:00:00
1665 days 18:00:00,2005-07-24 18:00:00
1666 days 00:00:00,2005-07-25 00:00:00
1666 days 06:00:00,2005-07-25 06:00:00
1666 days 12:00:00,2005-07-25 12:00:00
1666 days 18:00:00,2005-07-25 18:00:00
1667 days 00:00:00,2005-07-26 00:00:00
1667 days 06:00:00,2005-07-26 06:00:00
1667 days 12:00:00,2005-07-26 12:00:00
1667 days 18:00:00,2005-07-26 18:00:00
1668 days 00:00:00,2005-07-27 00:00:00
1668 days 06:00:00,2005-07-27 06:00:00
1668 days 12:00:00,2005-07-27 12:00:00
1668 days 18:00:00,2005-07-27 18:00:00
1669 days 00:00:00,2005-07-28 00:00:00
1669 days 06:00:00,2005-07-28 06:00:00
1669 days 12:00:00,2005-07-28 12:00:00
1669 days 18:00:00,2005-07-28 18:00:00
1670 days 00:00:00,2005-07-29 00:00:00
1670 days 06:00:00,2005-07-29 06:00:00
1670 days 12:00:00,2005-07-29 12:00:00
1670 days 18:00:00,2005-07-29 18:00:00
1671 days 00:00:00,2005-07-30 00:00:00
1671 days 06:00:00,2005-07-30 06:00:00
1671 days 12:00:00,2005-07-30 12:00:00
1671 days 18:00:00,2005-07-30 18:00:00
1672 days 00:00:00,2005-07-31 00:00:00
1672 days 06:00:00,2005-07-31 06:00:00
1672 days 12:00:00,2005-07-31 12:00:00
1672 days 18:00:00,2005-07-31 18:00:00
1673 days 00:00:00,2005-08-01 00:00:00
1673 days 06:00:00,2005-08-01 06:00:00
1673 days 12:00:00,2005-08-01 12:00:00
1673 days 18:00:00,2005-08-01 18:00:00
1674 days 00:00:00,2005-08-02 00:00:00
1674 days 06:00:00,2005-08-02 06:00:00
1674 days 12:00:00,2005-08-02 12:00:00
1674 days 18:00:00,2005-08-02 18:00:00
1675 days 00:00:00,2005-08-03 00:00:00
1675 days 06:00:00,2005-08-03 06:00:00
1675 days 12:00:00,2005-08-03 12:00:00
1675 days 18:00:00,2005-08-03 18:00:00
1676 days 00:00:00,2005-08-04 00:00:00
1676 days 06:00:00,2005-08-04 06:00:00
1676 days 12:00:00,2005-08-04 12:00:00
1676 days 18:00:00,2005-08-04 18:00:00
1677 days 00:00:00,2005-08-05 00:00:00
1677 days 06:00:00,2005-08-05 06:00:00
1677 days 12:00:00,2005-08-05 12:00:00
1677 days 18:00:00,2005-08-05 18:00:00
1678 days 00:00:00,2005-08-06 00:00:00
1678 days 06:00:00,2005-08-06 06:00:00
1678 days 12:00:00,2005-08-06 12:00:00
1678 days 18:00:00,2005-08-06 18:00:00
1679 days 00:00:00,2005-08-07 00:00:00
1679 days 06:00:00,2005-08-07 06:00:00
1679 days 12:00:00,2005-08-07 12:00:00
1679 days 18:00:00,2005-08-07 18:00:00
1680 days 00:00:00,2005-08-08 00:00:00
1680 days 06:00:00,2005-08-08 06:00:00
1680 days 12:00:00,2005-08-08 12:00:00
1680 days 18:00:00,2005-08-08 18:00:00
1681 days 00:00:00,2005-08-09 00:00:00
1681 days 06:00:00,2005-08-09 06:00:00
1681 days 12:00:00,2005-08-09 12:00:00
1681 days 18:00:00,2005-08-09 18:00:00
1682 days 00:00:00,2005-08-10 00:00:00
1682 days 06:00:00,2005-08-10 06:00:00
1682 days 12:00:00,2005-08-10 12:00:00
1682 days 18:00:00,2005-08-10 18:00:00
1683 days 00:00:00,2005-08-11 00:00:00
1683 days 06:00:00,2005-08-11 06:00:00
1683 days 12:00:00,2005-08-11 12:00:00
1683 days 18:00:00,2005-08-11 18:00:00
1684 days 00:00:00,2005-08-12 00:00:00
1684 days 06:00:00,2005-08-12 06:00:00
1684 days 12:00:00,2005-08-12 12:00:00
1684 days 18:00:00,2005-08-12 18:00:00
1685 days 00:00:00,2005-08-13 00:00:00
1685 days 06:00:00,2005-08-13 06:00:00
1685 days 12:00:00,2005-08-13 12:00:00
1685 days 18:00:00,2005-08-13 18:00:00
1686 days 00:00:00,2005-08-14 00:00:00
1686 days 06:00:00,2005-08-14 06:00:00
1686 days 12:00:00,2005-08-14 12:00:00
1686 days 18:00:00,2005-08-14 18:00:00
1687 days 00:00:00,2005-08-15 00:00:00
1687 days 06:00:00,2005-08-15 06:00:00
1687 days 12:00:00,2005-08-15 12:00:00
1687 days 18:00:00,2005-08-15 18:00:00
1688 days 00:00:00,2005-08-16 00:00:00
1688 days 06:00:00,2005-08-16 06:00:00
1688 days 12:00:00,2005-08-16 12:00:00
1688 days 18:00:00,2005-08-16 18:00:00
1689 days 00:00:00,2005-08-17 00:00:00
1689 days 06:00:00,2005-08-17 06:00:00
1689 days 12:00:00,2005-08-17 12:00:00
1689 days 18:00:00,2005-08-17 18:00:00
1690 days 00:00:00,2005-08-18 00:00:00
1690 days 06:00:00,2005-08-18 06:00:00
1690 days 12:00:00,2005-08-18 12:00:00
1690 days 18:00:00,2005-08-18 18:00:00
1691 days 00:00:00,2005-08-19 00:00:00
1691 days 06:00:00,2005-08-19 06:00:00
1691 days 12:00:00,2005-08-19 12:00:00
1691 days 18:00:00,2005-08-19 18:00:00
1692 days 00:00:00,2005-08-20 00:00:00
1692 days 06:00:00,2005-08-20 06:00:00
1692 days 12:00:00,2005-08-20 12:00:00
1692 days 18:00:00,2005-08-20 18:00:00
1693 days 00:00:00,2005-08-21 00:00:00
1693 days 06:00:00,2005-08-21 06:00:00
1693 days 12:00:00,2005-08-21 12:00:00
1693 days 18:00:00,2005-08-21 18:00:00
1694 days 00:00:00,2005-08-22 00:00:00
1694 days 06:00:00,2005-08-22 06:00:00
1694 days 12:00:00,2005-08-22 12:00:00
1694 days 18:00:00,2005-08-22 18:00:00
1695 days 00:00:00,2005-08-23 00:00:00
1695 days 06:00:00,2005-08-23 06:00:00
1695 days 12:00:00,2005-08-23 12:00:00
1695 days 18:00:00,2005-08-23 18:00:00
1696 days 00:00:00,2005-08-24 00:00:00
1696 days 06:00:00,2005-08-24 06:00:00
1696 days 12:00:00,2005-08-24 12:00:00
1696 days 18:00:00,2005-08-24 18:00:00
1697 days 00:00:00,2005-08-25 00:00:00
1697 days 06:00:00,2005-08-25 06:00:00
1697 days 12:00:00,2005-08-25 12:00:00
1697 days 18:00:00,2005-08-25 18:00:00
1698 days 00:00:00,2005-08-26 00:00:00
1698 days 06:00:00,2005-08-26 06:00:00
1698 days 12:00:00,2005-08-26 12:00:00
1698 days 18:00:00,2005-08-26 18:00:00
1699 days 00:00:00,2005-08-27 00:00:00
1699 days 06:00:00,2005-08-27 06:00:00
1699 days 12:00:00,2005-08-27 12:00:00
1699 days 18:00:00,2005-08-27 18:00:00
1700 days 00:00:00,2005-08-28 00:00:00
1700 days 06:00:00,2005-08-28 06:00:00
1700 days 12:00:00,2005-08-28 12:00:00
1700 days 18:00:00,2005-08-28 18:00:00
1701 days 00:00:00,2005-08-29 00:00:00
1701 days 06:00:00,2005-08-29 06:00:00
1701 days 12:00:00,2005-08-29 12:00:00
1701 days 18:00:00,2005-08-29 18:00:00
1702 days 00:00:00,2005-08-30 00:00:00
1702 days 06:00:00,2005-08-30 06:00:00
1702 days 12:00:00,2005-08-30 12:00:00
1702 days 18:00:00,2005-08-30 18:00:00
1703 days 00:00:00,2005-08-31 00:00:00
1703 days 06:00:00,2005-08-31 06:00:00
1703 days 12:00:00,2005-08-31 12:00:00
1703 days 18:00:00,2005-08-31 18:00:00
1704 days 00:00:00,2005-09-01 00:00:00
1704 days 06:00:00,2005-09-01 06:00:00
1704 days 12:00:00,2005-09-01 12:00:00
1704 days 18:00:00,2005-09-01 18:00:00
1705 days 00:00:00,2005-09-02 00:00:00
1705 days 06:00:00,2005-09-02 06:00:00
1705 days 12:00:00,2005-09-02 12:00:00
1705 days 18:00:00,2005-09-02 18:00:00
1706 days 00:00:00,2005-09-03 00:00:00
1706 days 06:00:00,2005-09-03 06:00:00
1706 days 12:00:00,2005-09-03 12:00:00
1706 days 18:00:00,2005-09-03 18:00:00
1707 days 00:00:00,2005-09-04 00:00:00
1707 days 06:00:00,2005-09-04 06:00:00
1707 days 12:00:00,2005-09-04 12:00:00
1707 days 18:00:00,2005-09-04 18:00:00
1708 days 00:00:00,2005-09-05 00:00:00
1708 days 06:00:00,2005-09-05 06:00:00
1708 days 12:00:00,2005-09-05 12:00:00
1708 days 18:00:00,2005-09-05 18:00:00
1709 days 00:00:00,2005-09-06 00:00:00
1709 days 06:00:00,2005-09-06 06:00:00
1709 days 12:00:00,2005-09-06 12:00:00
1709 days 18:00:00,2005-09-06 18:00:00
1710 days 00:00:00,2005-09-07 00:00:00
1710 days 06:00:00,2005-09-07 06:00:00
1710 days 12:00:00,2005-09-07 12:00:00
1710 days 18:00:00,2005-09-07 18:00:00
1711 days 00:00:00,2005-09-08 00:00:00
1711 days 06:00:00,2005-09-08 06:00:00
1711 days 12:00:00,2005-09-08 12:00:00
1711 days 18:00:00,2005-09-08 18:00:00
1712 days 00:00:00,2005-09-09 00:00:00
1712 days 06:00:00,2005-09-09 06:00:00
1712 days 12:00:00,2005-09-09 12:00:00
1712 days 18:00:00,2005-09-09 18:00:00
1713 days 00:00:00,2005-09-10 00:00:00
1713 days 06:00:00,2005-09-10 06:00:00
1713 days 12:00:00,2005-09-10 12:00:00
1713 days 18:00:00,2005-09-10 18:00:00
1714 days 00:00:00,2005-09-11 00:00:00
1714 days 06:00:00,2005-09-11 06:00:00
1714 days 12:00:00,2005-09-11 12:00:00
1714 days 18:00:00,2005-09-11 18:00:00
1715 days 00:00:00,2005-09-12 00:00:00
1715 days 06:00:00,2005-09-12 06:00:00
1715 days 12:00:00,2005-09-12 12:00:00
1715 days 18:00:00,2005-09-12 18:00:00
1716 days 00:00:00,2005-09-13 00:00:00
1716 days 06:00:00,2005-09-13 06:00:00
1716 days 12:00:00,2005-09-13 12:00:00
1716 days 18:00:00,2005-09-13 18:00:00
1717 days 00:00:00,2005-09-14 00:00:00
1717 days 06:00:00,2005-09-14 06:00:00
1717 days 12:00:00,2005-09-14 12:00:00
1717 days 18:00:00,2005-09-14 18:00:00
1718 days 00:00:00,2005-09-15 00:00:00
1718 days 06:00:00,2005-09-15 06:00:00
1718 days 12:00:00,2005-09-15 12:00:00
1718 days 18:00:00,2005-09-15 18:00:00
1719 days 00:00:00,2005-09-16 00:00:00
1719 days 06:00:00,2005-09-16 06:00:00
1719 days 12:00:00,2005-09-16 12:00:00
1719 days 18:00:00,2005-09-16 18:00:00
1720 days 00:00:00,2005-09-17 00:00:00
1720 days 06:00:00,2005-09-17 06:00:00
1720 days 12:00:00,2005-09-17 12:00:00
1720 days 18:00:00,2005-09-17 18:00:00
1721 days 00:00:00,2005-09-18 00:00:00
1721 days 06:00:00,2005-09-18 06:00:00
1721 days 12:00:00,2005-09-18 12:00:00
1721 days 18:00:00,2005-09-18 18:00:00
1722 days 00:00:00,2005-09-19 00:00:00
1722 days 06:00:00,2005-09-19 06:00:00
1722 days 12:00:00,2005-09-19 12:00:00
1722 days 18:00:00,2005-09-19 18:00:00
1723 days 00:00:00,2005-09-20 00:00:00
1723 days 06:00:00,2005-09-20 06:00:00
1723 days 12:00:00,2005-09-20 12:00:00
1723 days 18:00:00,2005-09-20 18:00:00
1724 days 00:00:00,2005-09-21 00:00:00
1724 days 06:00:00,2005-09-21 06:00:00
1724 days 12:00:00,2005-09-21 12:00:00
1724 days 18:00:00,2005-09-21 18:00:00
1725 days 00:00:00,2005-09-22 00:00:00
1725 days 06:00:00,2005-09-22 06:00:00
1725 days 12:00:00,2005-09-22 12:00:00
1725 days 18:00:00,2005-09-22 18:00:00
1726 days 00:00:00,2005-09-23 00:00:00
1726 days 06:00:00,2005-09-23 06:00:00
1726 days 12:00:00,2005-09-23 12:00:00
1726 days 18:00:00,2005-09-23 18:00:00
1727 days 00:00:00,2005-09-24 00:00:00
1727 days 06:00:00,2005-09-24 06:00:00
1727 days 12:00:00,2005-09-24 12:00:00
1727 days 18:00:00,2005-09-24 18:00:00
1728 days 00:00:00,2005-09-25 00:00:00
1728 days 06:00:00,2005-09-25 06:00:00
1728 days 12:00:00,2005-09-25 12:00:00
1728 days 18:00:00,2005-09-25 18:00:00
1729 days 00:00:00,2005-09-26 00:00:00
1729 days 06:00:00,2005-09-26 06:00:00
1729 days 12:00:00,2005-09-26 12:00:00
1729 days 18:00:00,2005-09-26 18:00:00
1730 days 00:00:00,2005-09-27 00:00:00
1730 days 06:00:00,2005-09-27 06:00:00
1730 days 12:00:00,2005-09-27 12:00:00
1730 days 18:00:00,2005-09-27 18:00:00
1731 days 00:00:00,2005-09-28 00:00:00
1731 days 06:00:00,2005-09-28 06:00:00
1731 days 12:00:00,2005-09-28 12:00:00
1731 days 18:00:00,2005-09-28 18:00:00
1732 days 00:00:00,2005-09-29 00:00:00
1732 days 06:00:00,2005-09-29 06:00:00
1732 days 12:00:00,2005-09-29 12:00:00
1732 days 18:00:00,2005-09-29 18:00:00
1733 days 00:00:00,2005-09-30 00:00:00
1733 days 06:00:00,2005-09-30 06:00:00
1733 days 12:00:00,2005-09-30 12:00:00
1733 days 18:00:00,2005-09-30 18:00:00
1734 days 00:00:00,2005-10-01 00:00:00
1734 days 06:00:00,2005-10-01 06:00:00
1734 days 12:00:00,2005-10-01 12:00:00
1734 days 18:00:00,2005-10-01 18:00:00
1735 days 00:00:00,2005-10-02 00:00:00
1735 days 06:00:00,2005-10-02 06:00:00
1735 days 12:00:00,2005-10-02 12:00:00
1735 days 18:00:00,2005-10-02 18:00:00
1736 days 00:00:00,2005-10-03 00:00:00
1736 days 06:00:00,2005-10-03 06:00:00
1736 days 12:00:00,2005-10-03 12:00:00
1736 days 18:00:00,2005-10-03 18:00:00
1737 days 00:00:00,2005-10-04 00:00:00
1737 days 06:00:00,2005-10-04 06:00:00
1737 days 12:00:00,2005-10-04 12:00:00
1737 days 18:00:00,2005-10-04 18:00:00
1738 days 00:00:00,2005-10-05 00:00:00
1738 days 06:00:00,2005-10-05 06:00:00
1738 days 12:00:00,2005-10-05 12:00:00
1738 days 18:00:00,2005-10-05 18:00:00
1739 days 00:00:00,2005-10-06 00:00:00
1739 days 06:00:00,2005-10-06 06:00:00
1739 days 12:00:00,2005-10-06 12:00:00
1739 days 18:00:00,2005-10-06 18:00:00
1740 days 00:00:00,2005-10-07 00:00:00
1740 days 06:00:00,2005-10-07 06:00:00
1740 days 12:00:00,2005-10-07 12:00:00
1740 days 18:00:00,2005-10-07 18:00:00
1741 days 00:00:00,2005-10-08 00:00:00
1741 days 06:00:00,2005-10-08 06:00:00
1741 days 12:00:00,2005-10-08 12:00:00
1741 days 18:00:00,2005-10-08 18:00:00
1742 days 00:00:00,2005-10-09 00:00:00
1742 days 06:00:00,2005-10-09 06:00:00
1742 days 12:00:00,2005-10-09 12:00:00
1742 days 18:00:00,2005-10-09 18:00:00
1743 days 00:00:00,2005-10-10 00:00:00
1743 days 06:00:00,2005-10-10 06:00:00
1743 days 12:00:00,2005-10-10 12:00:00
1743 days 18:00:00,2005-10-10 18:00:00
1744 days 00:00:00,2005-10-11 00:00:00
1744 days 06:00:00,2005-10-11 06:00:00
1744 days 12:00:00,2005-10-11 12:00:00
1744 days 18:00:00,2005-10-11 18:00:00
1745 days 00:00:00,2005-10-12 00:00:00
1745 days 06:00:00,2005-10-12 06:00:00
1745 days 12:00:00,2005-10-12 12:00:00
1745 days 18:00:00,2005-10-12 18:00:00
1746 days 00:00:00,2005-10-13 00:00:00
1746 days 06:00:00,2005-10-13 06:00:00
1746 days 12:00:00,2005-10-13 12:00:00
1746 days 18:00:00,2005-10-13 18:00:00
1747 days 00:00:00,2005-10-14 00:00:00
1747 days 06:00:00,2005-10-14 06:00:00
1747 days 12:00:00,2005-10-14 12:00:00
1747 days 18:00:00,2005-10-14 18:00:00
1748 days 00:00:00,2005-10-15 00:00:00
1748 days 06:00:00,2005-10-15 06:00:00
1748 days 12:00:00,2005-10-15 12:00:00
1748 days 18:00:00,2005-10-15 18:00:00
1749 days 00:00:00,2005-10-16 00:00:00
1749 days 06:00:00,2005-10-16 06:00:00
1749 days 12:00:00,2005-10-16 12:00:00
1749 days 18:00:00,2005-10-16 18:00:00
1750 days 00:00:00,2005-10-17 00:00:00
1750 days 06:00:00,2005-10-17 06:00:00
1750 days 12:00:00,2005-10-17 12:00:00
1750 days 18:00:00,2005-10-17 18:00:00
1751 days 00:00:00,2005-10-18 00:00:00
1751 days 06:00:00,2005-10-18 06:00:00
1751 days 12:00:00,2005-10-18 12:00:00
1751 days 18:00:00,2005-10-18 18:00:00
1752 days 00:00:00,2005-10-19 00:00:00
1752 days 06:00:00,2005-10-19 06:00:00
1752 days 12:00:00,2005-10-19 12:00:00
1752 days 18:00:00,2005-10-19 18:00:00
1753 days 00:00:00,2005-10-20 00:00:00
1753 days 06:00:00,2005-10-20 06:00:00
